d1,d2_klein,d2_gross
5,1.8,1.8
5.3,1.8,1.8
5.6,1.8,1.8
6,1.8,1.8
6.3,1.8,1.8
6.7,1.8,1.8
6.9,1.8,1.8
7.1,1.8,1.8
7.5,1.8,1.8
8,1.8,1.8
8.5,1.8,1.8
9,1.8,1.8
9.5,1.8,1.8
10,1.8,1.8
10.6,1.8,1.8
11.2,1.8,1.8
12.5,1.8,1.8
14,1.8,2.65
15,1.8,2.65
16,1.8,2.65
18,2.65,3.55
20,2.65,3.55
22.4,2.65,3.55
25,2.65,3.55
26.5,2.65,3.55
28,2.65,3.55
30,2.65,3.55
32.5,2.65,3.55
34.5,2.65,3.55
37.5,2.65,3.55
40,3.55,5.3
42.5,3.55,5.3
45,3.55,5.3
47.5,3.55,5.3
50,3.55,5.3
53,3.55,5.3
56,3.55,5.3
60,3.55,5.3
63,3.55,5.3
65,3.55,5.3
67,3.55,5.3
69,3.55,5.3
71,3.55,5.3
75,3.55,5.3
80,3.55,5.3
85,3.55,5.3
90,3.55,5.3
95,3.55,5.3
100,3.55,5.3
106,3.55,5.3
109,3.55,5.3
112,3.55,5.3
115,3.55,5.3
118,3.55,5.3
125,3.55,5.3
132,3.55,5.3
136,3.55,5.3
140,3.55,5.3
145,3.55,5.3
150,3.55,5.3
155,3.55,5.3
160,3.55,5.3
170,3.55,5.3
180,3.55,5.3
190,3.55,5.3
200,3.55,5.3
212,5.3,7
224,5.3,7
230,5.3,7
236,5.3,7
243,5.3,7
250,5.3,7
265,5.3,7
280,5.3,7
290,5.3,7
300,5.3,7
315,5.3,7
325,5.3,7
335,5.3,7
345,5.3,7
355,5.3,7
365,5.3,7
375,5.3,7
400,5.3,7
425,7,7
450,7,7
475,7,7
500,7,7
