#zByH	RuwByUtauSq
0.00609756	-0.100254
0.0121951	-0.190355
0.0152439	-0.26269
0.0182927	-0.343909
0.0228659	-0.442893
0.0243902	-0.520305
0.0289634	-0.59264
0.0335366	-0.681472
0.0365854	-0.743655
0.0457317	-0.804569
0.0564024	-0.859137
0.0746951	-0.869289
0.102134	-0.866751
0.128049	-0.848985
0.167683	-0.818528
0.221037	-0.770305
0.283537	-0.714467
0.364329	-0.638325
0.4375	-0.563452
0.504573	-0.5
0.573171	-0.435279
0.629573	-0.375635
0.705793	-0.296954
0.77439	-0.225888
0.853659	-0.143401
0.925305	-0.0736041
0.987805	-0.0114213


#zByH	tauSGSuwByUtauSq1
0.0152439	-0.937817
0.0167683	-0.472081
0.0182927	-0.996193
0.0198171	-0.767766
0.0243902	-0.375635
0.0259146	-0.296954
0.0320122	-0.233503
0.0335366	-0.163706
0.0426829	-0.0951777
0.0533537	-0.0520305
0.0746951	-0.0241117
0.123476	-0.00888325
0.182927	-0.00634518
0.310976	-0.00126904
0.681402	-2.22045e-16
0.990854	-0.00126904


