# r/D;U;u'
-4.254000000000000004e-01;1.918155520000000003e-01;5.063835700000000190e-02
-3.721999999999999753e-01;2.444591750000000285e-01;3.542636600000000080e-02
-3.190000000000000058e-01;2.612020680000000095e-01;3.913503000000000120e-02
-2.659000000000000252e-01;3.009623960000000209e-01;5.382953300000000579e-02
-2.026999999999999913e-01;4.007944560000000211e-01;1.088773190000000002e-01
-1.594999999999999751e-01;5.544776110000000369e-01;1.553326480000000176e-01
-1.329000000000000181e-01;6.493504110000000162e-01;1.538664320000000252e-01
-1.063000000000000056e-01;7.500126080000000250e-01;1.704799529999999896e-01
-7.979999999999998206e-02;8.620811029999999597e-01;1.747815719999999962e-01
-5.320000000000002505e-02;9.792921350000000080e-01;1.696713780000000116e-01
-2.660000000000001252e-02;1.052074665999999992e+00;1.622756119999999858e-01
0.000000000000000000e+00;1.078100000000000058e+00;1.562382519999999941e-01
2.659999999999995701e-02;1.058155150000000155e+00;1.629979390000000083e-01
5.320000000000002505e-02;9.794430690000001105e-01;1.702319900000000275e-01
7.979999999999998206e-02;8.782418220000000053e-01;1.797839559999999948e-01
1.062999999999999501e-01;7.626587209999999839e-01;1.717197680000000226e-01
1.329000000000000181e-01;6.681524750000000790e-01;1.707818210000000003e-01
1.594999999999999751e-01;5.715978390000000520e-01;1.518827280000000224e-01
2.026999999999999913e-01;4.093006650000000080e-01;1.140629800000000083e-01
2.659000000000000252e-01;3.024393930000000008e-01;5.671884099999999901e-02
3.189999999999999503e-01;2.642099670000000455e-01;3.213816099999999842e-02
3.721999999999999753e-01;2.390039890000000000e-01;2.961540700000000331e-02
4.254000000000000004e-01;2.053996120000000092e-01;4.289759900000000153e-02
